OBS,WP4,WP3,WP2,D8,D9,MARGIN1,MARGIN2,MARGIN3,MARGIN4,MFR1,MFR2,MFR3,MFR4,PRICE1,PRICE2,PRICE3,PRICE4,PROMO11,PROMO12,PROMO13,PROMO14,PROMO21,PROMO22,PROMO23,PROMO24,RET,S10,S11,S12,S13,S2,S3,S4,S5,S6,S7,S8,S9,VOL1,VOL2,VOL3,VOL4,WEEK,WP1,D7,D6,D5,D4,D3,D2,D10,D1,CSALES
8/02/1990,0.247061279,0.172374792,0.324127753,0,0,0.239161629,0.277737588,0.288584253,0.299151654,64254.2027,66688.37763,27978.22147,54865.78754,0.352176747,0.448767301,0.242298252,0.35251746,0.191,0.07,0.488,0.071,0,0,0,0,80610.21697,0,0,0,0,0,0,0,0,0,0,1,0,239799.6,205747.2,162310.4,222073.6,47,0.267949582,0,0,0,0,0,0,0,0,829930.8
8/09/1990,0.238814568,0.173530401,0.272782325,0,0,0.320747664,0.24097118,0.277519533,0.322006826,27740.62462,157266.2117,20911.38514,47388.64339,0.35573683,0.359383356,0.24018698,0.352237422,0.064,0.213,0.247,0,0,0,0,0,93566.40165,0,0,0,0,0,0,0,0,0,0,1,0,114803.8,576526.4,120505.6,198432.8,48,0.241635073,0,0,0,0,0,0,0,0,1010268.6
8/16/1990,0.243976811,0.171531658,0.322630436,0,0,0.086049714,0.265244969,0.282213696,0.290873189,126654.3866,60131.08634,18922.82357,51059.46697,0.292529156,0.439099322,0.238973155,0.344052442,0.501,0.28,0.729,0.107,0,0,0,0,62015.63964,0,0,0,0,0,0,0,0,0,0,0,1,473727.4,186377.6,110316.8,209280,49,0.267357106,0,0,0,0,0,0,0,0,979701.8
8/23/1990,0.255734132,0.176175684,0.278916246,0,1,0.304806878,0.212377059,0.308632157,0.261309436,29780.71321,168951.3964,18250.10961,62216.02252,0.332178798,0.354124076,0.254821925,0.346199267,0.254,0.14,0.244,0.215,0,0,0,0,88769.61712,0,0,0,0,0,0,0,0,0,0,0,1,128960.8,605742.4,103590.4,243284,50,0.230928416,0,0,0,0,0,0,0,0,1081577.6
8/30/1990,0.25873673,0.182342896,0.322953664,0,1,0.314710282,0.306958,0.246877833,0.250676072,32636.58221,67792.36622,81287.00448,75278.7272,0.360838708,0.465994361,0.24211596,0.345293565,0.322,0,0.988,0.362,0,0,0,0,96843.93049,0,0,0,0,0,0,0,0,0,0,0,1,131982.8,209913.6,445792,290947.2,51,0.247279056,0,0,0,0,0,0,0,0,1078635.6
9/06/1990,0.248905194,0.18082653,0.262738693,0,0,0.327914289,0.304241814,0.270487643,0.221958104,27411.04335,68307.22571,35498.70703,99495.1719,0.360521827,0.377629323,0.247873155,0.319912328,0.381,0.281,0.488,0.215,0,0,0,0,84789.37892,0,0,0,0,0,0,0,0,0,0,0,1,113127.8,259981.6,196313.6,399731.2,52,0.242301568,0,0,0,0,0,0,0,0,969154.2
9/13/1990,0.247733643,0.205787317,0.300708053,0,0,0.195303156,0.292070754,0.262827612,0.249299689,78607.26532,63794.13079,32249.01271,64660.46263,0.320232241,0.424771337,0.279157657,0.330003384,0.19,0.35,0.244,0.251,0.254,0,0,0,78368.83408,1,0,0,0,0,0,0,0,0,0,0,0,305046,212146.4,156710.4,261008,53,0.257689874,0,0,0,0,0,0,0,0,934910.8
9/20/1990,0.24373355,0.214754251,0.268924276,0,0,0.318368492,0.242770524,0.245812894,0.268927832,25383.90284,165612.8199,40893.33259,50962.54036,0.364807555,0.355142377,0.2847493,0.333391914,0.256,0.284,0.247,0.218,0,0,0,0,97027.26607,1,0,0,0,0,0,0,0,0,0,0,0,102081,615834.4,190419.2,209091.2,54,0.248664324,0,0,0,0,0,0,0,0,1117425.8
9/27/1990,0.252312088,0.210845028,0.322112162,0,0,0.298484361,0.272229216,0.197853758,0.22248988,33275.7907,68902.88372,81179.04651,74168.04651,0.372281238,0.442601117,0.262851107,0.324512931,0.252,0.281,0.244,0.18,0,0,0,0,81179.04651,1,0,0,0,0,0,0,0,0,0,0,0,127414.8,213909.6,385017.6,293953.6,55,0.261161111,0,0,0,0,0,0,0,0,1020295.6
10/04/1990,0.262373732,0.203052146,0.339623007,0,0,0.330064167,0.260706722,0.23602663,0.129461052,42009.74419,71894.93023,30418.18605,132943.9302,0.384323326,0.45938874,0.265784324,0.301392295,0,0.142,0.247,0.182,0,0,0,0,75218.7907,1,0,0,0,0,0,0,0,0,0,0,0,163162.4,211690.4,149804.8,506696.8,56,0.257471968,0,0,0,0,0,0,0,0,1031354.4
